  inventory.cpp
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(9,12): error C3646: 'inventory': 알 수 없는 재정의 지정자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(9,21): error C4430: 형식 지정자가 없습니다. int로 가정합니다. 참고: C++에서는 기본 int를 지원하지 않습니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,9): error C2065: 'Item': 선언되지 않은 식별자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,14): error C2059: 구문 오류: '>'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(53,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(54,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(55,30): error C2061: 구문 오류: 식별자 'Potion'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(56,30): error C2061: 구문 오류: 식별자 'Potion'
  item.cpp
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(9,9): error C2065: 'Item': 선언되지 않은 식별자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(9,14): error C2059: 구문 오류: '>'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(12,15): error C2061: 구문 오류: 식별자 'Item'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(13,42): error C2061: 구문 오류: 식별자 'Player'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,9): error C2065: 'Item': 선언되지 않은 식별자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,14): error C2059: 구문 오류: '>'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(53,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(54,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(55,30): error C2061: 구문 오류: 식별자 'Potion'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(56,30): error C2061: 구문 오류: 식별자 'Potion'
  메인.cpp
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(9,9): error C2065: 'Item': 선언되지 않은 식별자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(9,14): error C2059: 구문 오류: '>'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(12,15): error C2061: 구문 오류: 식별자 'Item'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(13,42): error C2061: 구문 오류: 식별자 'Player'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,9): error C2065: 'Item': 선언되지 않은 식별자입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(50,14): error C2059: 구문 오류: '>'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(53,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(54,30): error C2061: 구문 오류: 식별자 'Weapon'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(55,30): error C2061: 구문 오류: 식별자 'Potion'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\player.h(56,30): error C2061: 구문 오류: 식별자 'Potion'
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\메인.cpp(10,1): warning C4326: 'main'의 반환 형식이 'int'이어야 하는데 'void'입니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\메인.cpp(62,56): error C2660: 'Inventory::AddItem': 함수는 1개의 인수를 사용하지 않습니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(12,7): message : 'Inventory::AddItem' 선언을 참조하십시오.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\메인.cpp(89,53): error C2660: 'Inventory::UseItem': 함수는 3개의 인수를 사용하지 않습니다.
C:\Users\0930k\OneDrive\바탕 화면\경일\rpg\inventory.h(13,7): message : 'Inventory::UseItem' 선언을 참조하십시오.
  코드를 생성하고 있습니다...
